wavelength,CIE 1924 - V(lbd) ,CIE 1951 - V'(lbd),CIE 1931 - x2,CIE 1931 - y2,CIE 1931 - z2,CIE 1964 - x10,CIE 1964 - y10,CIE 1964 - z10
699,4.38E-03,1.91E-05,1.21E-02,4.38E-03,0.00E+00,1.03E-02,4.00E-03,0.00E+00
700,4.10E-03,1.78E-05,1.14E-02,4.10E-03,0.00E+00,9.58E-03,3.72E-03,0.00E+00
701,3.84E-03,1.66E-05,1.06E-02,3.84E-03,0.00E+00,8.89E-03,3.45E-03,0.00E+00
702,3.59E-03,1.56E-05,9.94E-03,3.59E-03,0.00E+00,8.26E-03,3.21E-03,0.00E+00
703,3.35E-03,1.45E-05,9.29E-03,3.35E-03,0.00E+00,7.67E-03,2.98E-03,0.00E+00
704,3.13E-03,1.36E-05,8.68E-03,3.13E-03,0.00E+00,7.12E-03,2.76E-03,0.00E+00
705,2.93E-03,1.27E-05,8.11E-03,2.93E-03,0.00E+00,6.61E-03,2.56E-03,0.00E+00
706,2.74E-03,1.19E-05,7.58E-03,2.74E-03,0.00E+00,6.13E-03,2.38E-03,0.00E+00
707,2.56E-03,1.11E-05,7.09E-03,2.56E-03,0.00E+00,5.69E-03,2.21E-03,0.00E+00
708,2.39E-03,1.04E-05,6.63E-03,2.39E-03,0.00E+00,5.28E-03,2.05E-03,0.00E+00
709,2.24E-03,9.76E-06,6.20E-03,2.24E-03,0.00E+00,4.90E-03,1.90E-03,0.00E+00
710,2.09E-03,9.14E-06,5.79E-03,2.09E-03,0.00E+00,4.55E-03,1.77E-03,0.00E+00
711,1.95E-03,8.56E-06,5.41E-03,1.95E-03,0.00E+00,4.23E-03,1.64E-03,0.00E+00
712,1.82E-03,8.02E-06,5.05E-03,1.82E-03,0.00E+00,3.93E-03,1.53E-03,0.00E+00
713,1.70E-03,7.51E-06,4.72E-03,1.70E-03,0.00E+00,3.65E-03,1.42E-03,0.00E+00
714,1.59E-03,7.04E-06,4.40E-03,1.59E-03,0.00E+00,3.39E-03,1.32E-03,0.00E+00
715,1.48E-03,6.60E-06,4.11E-03,1.48E-03,0.00E+00,3.14E-03,1.22E-03,0.00E+00
716,1.38E-03,6.18E-06,3.83E-03,1.38E-03,0.00E+00,2.92E-03,1.14E-03,0.00E+00
717,1.29E-03,5.80E-06,3.58E-03,1.29E-03,0.00E+00,2.71E-03,1.05E-03,0.00E+00
718,1.20E-03,5.44E-06,3.33E-03,1.20E-03,0.00E+00,2.52E-03,9.80E-04,0.00E+00
719,1.12E-03,5.10E-06,3.11E-03,1.12E-03,0.00E+00,2.34E-03,9.11E-04,0.00E+00
720,1.05E-03,4.78E-06,2.90E-03,1.05E-03,0.00E+00,2.17E-03,8.46E-04,0.00E+00
721,9.77E-04,4.49E-06,2.70E-03,9.77E-04,0.00E+00,2.02E-03,7.86E-04,0.00E+00
722,9.11E-04,4.21E-06,2.52E-03,9.11E-04,0.00E+00,1.88E-03,7.31E-04,0.00E+00
723,8.50E-04,3.95E-06,2.35E-03,8.50E-04,0.00E+00,1.74E-03,6.79E-04,0.00E+00
724,7.93E-04,3.71E-06,2.20E-03,7.93E-04,0.00E+00,1.62E-03,6.31E-04,0.00E+00
725,7.40E-04,3.48E-06,2.05E-03,7.40E-04,0.00E+00,1.51E-03,5.86E-04,0.00E+00
726,6.90E-04,3.27E-06,1.91E-03,6.90E-04,0.00E+00,1.40E-03,5.45E-04,0.00E+00
727,6.43E-04,3.07E-06,1.78E-03,6.43E-04,0.00E+00,1.30E-03,5.07E-04,0.00E+00
728,5.99E-04,2.88E-06,1.66E-03,5.99E-04,0.00E+00,1.21E-03,4.71E-04,0.00E+00
729,5.58E-04,2.71E-06,1.55E-03,5.58E-04,0.00E+00,1.12E-03,4.38E-04,0.00E+00
730,5.20E-04,2.55E-06,1.44E-03,5.20E-04,0.00E+00,1.04E-03,4.07E-04,0.00E+00
