nm,CIE 1924 - V(lbd) ,CIE 1951 - V'(lbd),CIE 1931 - x2,CIE 1931 - y2,CIE 1931 - z2,CIE 1964 - x10,CIE 1964 - y10,CIE 1964 - z10
521,0.72818520000000000000,0.92500000000000000000,0.071635010000,0.728185200000,0.073208990000,0.12783900000000000000,0.77534000000000000000,0.05645700000000000000
522,0.74546360000000000000,0.91500000000000000000,0.080462240000,0.745463600000,0.068678160000,0.13845000000000000000,0.78822000000000000000,0.05260900000000000000
523,0.76196940000000000000,0.90400000000000000000,0.089739960000,0.761969400000,0.064567840000,0.14951600000000000000,0.80046000000000000000,0.04912200000000000000
524,0.77783680000000000000,0.89200000000000000000,0.099456450000,0.777836800000,0.060788350000,0.16104100000000000000,0.81214000000000000000,0.04595400000000000000
525,0.79320000000000000000,0.88000000000000000000,0.109600000000,0.793200000000,0.057250010000,0.17295300000000000000,0.82333000000000000000,0.04305000000000000000
526,0.80811040000000000000,0.86700000000000000000,0.120167400000,0.808110400000,0.053904350000,0.18520900000000000000,0.83412000000000000000,0.04036800000000000000
527,0.82249620000000000000,0.85400000000000000000,0.131114500000,0.822496200000,0.050746640000,0.19775500000000000000,0.84460000000000000000,0.03783900000000000000
528,0.83630680000000000000,0.84000000000000000000,0.142367900000,0.836306800000,0.047752760000,0.21053800000000000000,0.85487000000000000000,0.03538400000000000000
529,0.84949160000000000000,0.82600000000000000000,0.153854200000,0.849491600000,0.044898590000,0.22346000000000000000,0.86504000000000000000,0.03294900000000000000
530,0.86200000000000000000,0.81100000000000000000,0.165500000000,0.862000000000,0.042160000000,0.23649100000000000000,0.87521100000000000000,0.03045100000000000000
531,0.87381080000000000000,0.79600000000000000000,0.177257100000,0.873810800000,0.039507280000,0.24963300000000000000,0.88537000000000000000,0.02802900000000000000
532,0.88496240000000000000,0.78100000000000000000,0.189140000000,0.884962400000,0.036935640000,0.26297200000000000000,0.89537000000000000000,0.02586200000000000000
533,0.89549360000000000000,0.76500000000000000000,0.201169400000,0.895493600000,0.034458360000,0.27651500000000000000,0.90515000000000000000,0.02392000000000000000
534,0.90544320000000000000,0.74900000000000000000,0.213365800000,0.905443200000,0.032088720000,0.29026900000000000000,0.91465000000000000000,0.02217400000000000000
535,0.91485010000000000000,0.73300000000000000000,0.225749900000,0.914850100000,0.029840000000,0.30421300000000000000,0.92381000000000000000,0.02058400000000000000
536,0.92373480000000000000,0.71700000000000000000,0.238320900000,0.923734800000,0.027711810000,0.31836100000000000000,0.93255000000000000000,0.01912700000000000000
537,0.93209240000000000000,0.70000000000000000000,0.251066800000,0.932092400000,0.025694440000,0.33270500000000000000,0.94081000000000000000,0.01774000000000000000
