nm,S-cone-opic,M-cone-opic,L-cone-opic,rhodopic,melanopic
578,7.29E-05,6.47E-01,9.69E-01,1.36E-01,3.16E-02
579,6.64E-05,6.29E-01,9.63E-01,1.28E-01,2.91E-02
580,6.05E-05,6.12E-01,9.58E-01,1.21E-01,2.69E-02
581,5.51E-05,5.95E-01,9.54E-01,1.14E-01,2.48E-02
582,5.02E-05,5.79E-01,9.50E-01,1.08E-01,2.29E-02
583,4.58E-05,5.63E-01,9.47E-01,1.02E-01,2.11E-02
584,4.18E-05,5.47E-01,9.44E-01,9.56E-02,1.94E-02
585,3.81E-05,5.32E-01,9.40E-01,8.99E-02,1.79E-02
586,3.48E-05,5.16E-01,9.35E-01,8.45E-02,1.65E-02
587,3.18E-05,5.01E-01,9.29E-01,7.93E-02,1.51E-02
588,2.90E-05,4.85E-01,9.22E-01,7.45E-02,1.39E-02
589,2.65E-05,4.70E-01,9.15E-01,6.99E-02,1.28E-02
590,2.43E-05,4.54E-01,9.07E-01,6.55E-02,1.18E-02
591,2.22E-05,4.38E-01,8.98E-01,6.13E-02,1.08E-02
592,2.03E-05,4.23E-01,8.89E-01,5.74E-02,9.97E-03
593,1.86E-05,4.07E-01,8.80E-01,5.37E-02,9.16E-03
594,1.70E-05,3.92E-01,8.70E-01,5.02E-02,8.41E-03
595,1.56E-05,3.77E-01,8.60E-01,4.69E-02,7.73E-03
596,1.43E-05,3.62E-01,8.49E-01,4.38E-02,7.11E-03
597,1.31E-05,3.47E-01,8.38E-01,4.09E-02,6.53E-03
598,1.20E-05,3.32E-01,8.27E-01,3.82E-02,6.00E-03
599,1.10E-05,3.18E-01,8.15E-01,3.56E-02,5.51E-03
600,1.01E-05,3.04E-01,8.03E-01,3.32E-02,5.07E-03
601,9.31E-06,2.91E-01,7.91E-01,3.09E-02,4.66E-03
602,8.56E-06,2.78E-01,7.79E-01,2.87E-02,4.28E-03
603,7.87E-06,2.65E-01,7.67E-01,2.67E-02,3.93E-03
604,7.24E-06,2.52E-01,7.54E-01,2.49E-02,3.61E-03
605,6.67E-06,2.40E-01,7.41E-01,2.31E-02,3.32E-03
606,6.14E-06,2.28E-01,7.27E-01,2.15E-02,3.05E-03
607,5.66E-06,2.17E-01,7.13E-01,1.99E-02,2.80E-03
608,5.22E-06,2.06E-01,6.98E-01,1.85E-02,2.58E-03
609,4.81E-06,1.95E-01,6.84E-01,1.72E-02,2.37E-03
610,4.44E-06,1.85E-01,6.69E-01,1.59E-02,2.18E-03
611,4.10E-06,1.75E-01,6.54E-01,1.48E-02,2.00E-03
612,3.79E-06,1.66E-01,6.39E-01,1.37E-02,1.84E-03
613,3.50E-06,1.57E-01,6.24E-01,1.27E-02,1.69E-03
614,3.24E-06,1.49E-01,6.09E-01,1.18E-02,1.56E-03
615,2.99E-06,1.40E-01,5.93E-01,1.09E-02,1.43E-03
616,0.00E+00,1.33E-01,5.78E-01,1.01E-02,1.32E-03
617,0.00E+00,1.25E-01,5.62E-01,9.32E-03,1.21E-03
618,0.00E+00,1.18E-01,5.47E-01,8.62E-03,1.12E-03
619,0.00E+00,1.11E-01,5.32E-01,7.97E-03,1.03E-03
620,0.00E+00,1.05E-01,5.17E-01,7.37E-03,9.47E-04
621,0.00E+00,9.84E-02,5.03E-01,6.82E-03,8.73E-04
622,0.00E+00,9.25E-02,4.89E-01,6.30E-03,8.04E-04
623,0.00E+00,8.69E-02,4.74E-01,5.82E-03,7.40E-04
624,0.00E+00,8.16E-02,4.60E-01,5.38E-03,6.81E-04
625,0.00E+00,7.66E-02,4.45E-01,4.97E-03,6.28E-04
626,0.00E+00,7.19E-02,4.30E-01,4.59E-03,5.79E-04
627,0.00E+00,6.74E-02,4.15E-01,4.24E-03,5.33E-04
628,0.00E+00,6.32E-02,3.99E-01,3.91E-03,4.91E-04
629,0.00E+00,5.92E-02,3.84E-01,3.61E-03,4.53E-04
630,0.00E+00,5.55E-02,3.69E-01,3.34E-03,4.18E-04
631,0.00E+00,5.20E-02,3.55E-01,3.08E-03,3.86E-04
632,0.00E+00,4.86E-02,3.40E-01,2.84E-03,3.56E-04
633,0.00E+00,4.55E-02,3.27E-01,2.62E-03,3.28E-04
634,0.00E+00,4.25E-02,3.13E-01,2.42E-03,3.03E-04
635,0.00E+00,3.97E-02,3.00E-01,2.24E-03,2.80E-04
636,0.00E+00,3.71E-02,2.88E-01,2.06E-03,2.59E-04
637,0.00E+00,3.46E-02,2.76E-01,1.90E-03,2.39E-04
638,0.00E+00,3.23E-02,2.64E-01,1.76E-03,2.21E-04
639,0.00E+00,3.01E-02,2.53E-01,1.62E-03,2.04E-04
640,0.00E+00,2.80E-02,2.42E-01,1.50E-03,1.88E-04
641,0.00E+00,2.61E-02,2.32E-01,1.38E-03,1.74E-04
642,0.00E+00,2.42E-02,2.22E-01,1.28E-03,1.61E-04
643,0.00E+00,2.25E-02,2.13E-01,1.18E-03,1.49E-04
644,0.00E+00,2.09E-02,2.03E-01,1.09E-03,1.38E-04
645,0.00E+00,1.94E-02,1.94E-01,1.01E-03,1.27E-04
646,0.00E+00,1.81E-02,1.84E-01,9.28E-04,1.18E-04
647,0.00E+00,1.69E-02,1.75E-01,8.57E-04,1.09E-04
648,0.00E+00,1.58E-02,1.67E-01,7.92E-04,1.01E-04
649,0.00E+00,1.48E-02,1.58E-01,7.32E-04,9.34E-05
650,0.00E+00,1.38E-02,1.50E-01,6.77E-04,8.66E-05
651,0.00E+00,1.28E-02,1.41E-01,6.26E-04,8.02E-05
652,0.00E+00,1.19E-02,1.34E-01,5.79E-04,7.43E-05
653,0.00E+00,1.11E-02,1.26E-01,5.36E-04,6.89E-05
654,0.00E+00,1.03E-02,1.19E-01,4.96E-04,6.38E-05
655,0.00E+00,9.54E-03,1.13E-01,4.59E-04,5.92E-05
656,0.00E+00,8.85E-03,1.06E-01,4.25E-04,5.49E-05
657,0.00E+00,8.20E-03,1.00E-01,3.94E-04,5.09E-05
658,0.00E+00,7.59E-03,9.45E-02,3.65E-04,4.72E-05
659,0.00E+00,7.03E-03,8.90E-02,3.38E-04,4.38E-05
660,0.00E+00,6.50E-03,8.38E-02,3.13E-04,4.07E-05
661,0.00E+00,6.02E-03,7.89E-02,2.90E-04,3.78E-05
662,0.00E+00,5.57E-03,7.42E-02,2.69E-04,3.51E-05
663,0.00E+00,5.16E-03,6.98E-02,2.49E-04,3.26E-05
664,0.00E+00,4.78E-03,6.56E-02,2.31E-04,3.03E-05
665,0.00E+00,4.43E-03,6.16E-02,2.15E-04,2.81E-05
666,0.00E+00,4.11E-03,5.79E-02,1.99E-04,2.62E-05
667,0.00E+00,3.81E-03,5.43E-02,1.85E-04,2.43E-05
668,0.00E+00,3.54E-03,5.10E-02,1.72E-04,2.26E-05
669,0.00E+00,3.29E-03,4.78E-02,1.59E-04,2.10E-05
670,0.00E+00,3.06E-03,4.48E-02,1.48E-04,1.96E-05
671,0.00E+00,2.84E-03,4.20E-02,1.38E-04,1.82E-05
672,0.00E+00,2.64E-03,3.93E-02,1.28E-04,1.69E-05
673,0.00E+00,2.45E-03,3.68E-02,1.19E-04,1.57E-05
674,0.00E+00,2.28E-03,3.44E-02,1.10E-04,1.47E-05
675,0.00E+00,2.12E-03,3.22E-02,1.03E-04,1.36E-05
676,0.00E+00,1.96E-03,3.01E-02,9.54E-05,1.27E-05
677,0.00E+00,1.82E-03,2.81E-02,8.88E-05,1.18E-05
678,0.00E+00,1.69E-03,2.62E-02,8.26E-05,1.10E-05
679,0.00E+00,1.57E-03,2.44E-02,7.69E-05,1.03E-05
680,0.00E+00,1.46E-03,2.28E-02,7.15E-05,9.58E-06
681,0.00E+00,1.35E-03,2.12E-02,6.66E-05,8.93E-06
682,0.00E+00,1.25E-03,1.98E-02,6.20E-05,8.33E-06
683,0.00E+00,1.16E-03,1.84E-02,5.78E-05,7.76E-06
684,0.00E+00,1.08E-03,1.71E-02,5.38E-05,7.24E-06
685,0.00E+00,9.98E-04,1.59E-02,5.01E-05,6.75E-06
686,0.00E+00,9.24E-04,1.47E-02,4.67E-05,6.30E-06
687,0.00E+00,8.55E-04,1.37E-02,4.36E-05,5.88E-06
688,0.00E+00,7.91E-04,1.27E-02,4.06E-05,5.49E-06
689,0.00E+00,7.32E-04,1.18E-02,3.79E-05,5.13E-06
690,0.00E+00,6.78E-04,1.09E-02,3.53E-05,4.79E-06
691,0.00E+00,6.28E-04,1.01E-02,3.30E-05,4.47E-06
