nm,Photopic (2 deg. Observer),Scotopic,Vlambda / macula,Scone / macula,Melanopsin corr. * lens
444,2.84E-02,3.80E-01,0.0758,0.983,0.590757596
446,3.13E-02,4.06E-01,0.0856,0.9879,0.618670738
448,3.45E-02,4.31E-01,0.0966,0.9938,0.647273594
450,3.80E-02,4.55E-01,0.109,1,0.676018566
452,4.18E-02,4.79E-01,0.1224,0.9965,0.701307844
454,4.58E-02,5.02E-01,0.1374,0.9928,0.727285228
456,5.02E-02,5.24E-01,0.153,0.9822,0.753961936
458,5.50E-02,5.46E-01,0.1689,0.9646,0.781559637
460,6.00E-02,5.67E-01,0.1861,0.9466,0.809646145
462,6.53E-02,5.88E-01,0.1992,0.9064,0.833608606
464,7.09E-02,6.10E-01,0.2131,0.8675,0.857290338
466,7.70E-02,6.31E-01,0.2274,0.828,0.880046047
468,8.37E-02,6.53E-01,0.2423,0.788,0.901175408
470,9.10E-02,6.76E-01,0.2585,0.7496,0.921389176
472,9.90E-02,6.99E-01,0.2752,0.6858,0.94062421
474,1.08E-01,7.22E-01,0.2932,0.6248,0.957205809
476,1.18E-01,7.45E-01,0.3158,0.5721,0.972050647
478,1.28E-01,7.69E-01,0.3436,0.526,0.984091925
480,1.39E-01,7.93E-01,0.3729,0.48,0.993764598
482,1.50E-01,8.17E-01,0.4032,0.4402,0.998953263
484,1.63E-01,8.40E-01,0.4357,0.4006,1
486,1.76E-01,8.62E-01,0.4697,0.3596,0.999095768
488,1.91E-01,8.84E-01,0.5055,0.3179,0.995156098
490,2.08E-01,9.04E-01,0.5453,0.2768,0.989182216
492,2.27E-01,9.23E-01,0.5817,0.2489,0.980550569
494,2.47E-01,9.41E-01,0.6217,0.2222,0.968645846
496,2.70E-01,9.57E-01,0.6547,0.1935,0.954254284
498,2.95E-01,9.70E-01,0.6805,0.1644,0.937147496
500,3.23E-01,9.82E-01,0.7107,0.138,0.917380944
502,3.55E-01,9.90E-01,0.7305,0.1183,0.895084971
504,3.89E-01,9.97E-01,0.7536,0.101,0.870684754
506,4.26E-01,1.00E+00,0.7735,0.0853,0.844036187
508,4.63E-01,1.00E+00,0.7899,0.071,0.81571098
510,5.03E-01,9.97E-01,0.8074,0.0584,0.78560144
512,5.45E-01,9.90E-01,0.8259,0.0496,0.752761413
514,5.87E-01,9.81E-01,0.8439,0.0418,0.718842908
516,6.29E-01,9.68E-01,0.8569,0.0346,0.684398864
518,6.71E-01,9.53E-01,0.8646,0.028,0.650113565
520,7.10E-01,9.35E-01,0.8685,0.0221,0.614446927
522,7.45E-01,9.15E-01,0.8882,0.0195,0.579561508
524,7.78E-01,8.92E-01,0.9033,0.0171,0.545242788
526,8.08E-01,8.67E-01,0.9146,0.0148,0.510797154
528,8.36E-01,8.40E-01,0.9223,0.0126,0.476831487
530,8.62E-01,8.11E-01,0.9269,0.0105,0.443922147
532,8.85E-01,7.81E-01,0.9415,0.0093,0.412364095
